2026-08-17 18:36:39,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:36:40,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:37:10,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:37:10,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:37:14,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:37:15,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:37:30,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 18:37:31,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 18:37:45,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 18:37:47,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 19:10:37,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
2026-08-17 19:10:40,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 19:10:51,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 19:11:20,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 19:12:03,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 19:12:10,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 19:12:13,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 19:12:19,Driver Active,Driver (Adult),MOBILE PHONE USAGE DETECTED
2026-08-17 19:12:20,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 19:12:51,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 19:59:23,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 19:59:42,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 20:00:07,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-08-17 20:00:07,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 20:00:07,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-08-17 20:00:08,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 23:29:23,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 23:29:48,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
2026-08-17 23:29:50,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
2026-08-17 23:30:02,Driver Active,Driver (Adult),PLEASE FOCUS ON THE ROAD
2026-08-17 23:30:26,Driver Active,Driver (Adult),CRITICAL: BOTH HANDS OFF WHEEL
2026-08-17 23:31:06,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-08-17 23:31:07,Driver Active,Driver (Adult),WARNING: YAWNING DETECTED
2026-08-17 23:31:08,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-08-17 23:31:10,Driver Active,Driver (Adult),WARNING: YAWNING DETECTED
2026-08-17 23:31:10,Driver Active,Driver (Adult),WARNING: DROWSINESS DETECTED
2026-08-17 23:31:12,Driver Active,Driver (Adult),WARNING: YAWNING DETECTED
2026-08-17 23:31:30,Driver Active,Driver (Adult),WARNING: ONE HAND OFF WHEEL TOO LONG
2026-08-17 23:31:50,Passenger Present,Passenger,PLEASE FOCUS ON THE ROAD
2026-08-17 23:31:57,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
2026-08-17 23:32:23,Empty Seat,N/A,PLEASE FOCUS ON THE ROAD
